Fecha,Hora,Día,Mes,Temperatura (°C),Watermark Comercial,Watermark Uni,Riego,,,,,,,,
02/01/2025,07:00,Jueves,Enero 2025,29.4,37.54,34.6,0,,,,,,,,
02/01/2025,08:00,Jueves,Enero 2025,31.7,38.1,35.14,0,,,,,,,,
02/01/2025,09:00,Jueves,Enero 2025,33.2,38.45,35.59,0,,,,,,,,
02/01/2025,10:00,Jueves,Enero 2025,34.2,39.02,35.89,0,,,,,,,,
02/01/2025,11:00,Jueves,Enero 2025,34.9,39.14,36,1,,,,,,,,
02/01/2025,12:00,Jueves,Enero 2025,35,38.31,35.41,0,,,,,,,,
02/01/2025,13:00,Jueves,Enero 2025,34.5,37.16,34.34,0,,,,,,,,
02/01/2025,14:00,Jueves,Enero 2025,34.4,36.27,33.35,0,,,,,,,,
02/01/2025,15:00,Jueves,Enero 2025,32.9,36.81,33.59,0,,,,,,,,
02/01/2025,16:00,Jueves,Enero 2025,31.7,37.33,34.03,0,,,,,,,,
02/01/2025,17:00,Jueves,Enero 2025,28.9,37.63,34.32,0,,,,,,,,
02/01/2025,18:00,Jueves,Enero 2025,27,37.91,34.51,1,,,,,,,,
02/01/2025,19:00,Jueves,Enero 2025,25.9,37.17,33.83,0,,,,,,,,
02/01/2025,20:00,Jueves,Enero 2025,24.1,36.74,33.16,0,,,,,,,,
02/01/2025,21:00,Jueves,Enero 2025,22.2,35.88,32.77,0,,,,,,,,
02/01/2025,22:00,Jueves,Enero 2025,21.3,35.04,32.26,0,,,,,,,,
02/01/2025,23:00,Jueves,Enero 2025,20.3,34.27,31.91,0,,,,,,,,
03/01/2025,00:00,Viernes,Enero 2025,20,34.71,32.3,0,,,,,,,,
03/01/2025,01:00,Viernes,Enero 2025,20.5,35.14,32.6,0,,,,,,,,
03/01/2025,02:00,Viernes,Enero 2025,21.5,35.75,32.96,0,,,,,,,,
03/01/2025,03:00,Viernes,Enero 2025,22.2,36.15,33.24,0,,,,,,,,
03/01/2025,04:00,Viernes,Enero 2025,23.6,36.73,33.52,0,,,,,,,,
03/01/2025,05:00,Viernes,Enero 2025,25.3,37.11,33.94,0,,,,,,,,
03/01/2025,06:00,Viernes,Enero 2025,27.2,37.82,34.44,0,,,,,,,,
03/01/2025,07:00,Viernes,Enero 2025,29,38.27,34.87,0,,,,,,,,
03/01/2025,08:00,Viernes,Enero 2025,31,38.67,35.4,0,,,,,,,,
03/01/2025,09:00,Viernes,Enero 2025,32.9,39.21,35.88,0,,,,,,,,
03/01/2025,10:00,Viernes,Enero 2025,34.3,39.63,36.11,0,,,,,,,,
03/01/2025,11:00,Viernes,Enero 2025,34.7,39.82,36.23,1,,,,,,,,
03/01/2025,12:00,Viernes,Enero 2025,35,38.79,35.72,0,,,,,,,,
03/01/2025,13:00,Viernes,Enero 2025,34.3,37.57,34.76,0,,,,,,,,
03/01/2025,14:00,Viernes,Enero 2025,34.4,36.25,33.69,0,,,,,,,,
03/01/2025,15:00,Viernes,Enero 2025,32.8,36.72,33.97,0,,,,,,,,
03/01/2025,16:00,Viernes,Enero 2025,31,37.39,34.31,0,,,,,,,,
03/01/2025,17:00,Viernes,Enero 2025,29.8,37.91,34.52,0,,,,,,,,
03/01/2025,18:00,Viernes,Enero 2025,28,38.17,34.72,1,,,,,,,,
03/01/2025,19:00,Viernes,Enero 2025,26,37.7,34.08,0,,,,,,,,
03/01/2025,20:00,Viernes,Enero 2025,23.7,36.9,33.54,0,,,,,,,,
03/01/2025,21:00,Viernes,Enero 2025,21.8,36.19,33.24,0,,,,,,,,
03/01/2025,22:00,Viernes,Enero 2025,20.8,35.69,32.72,0,,,,,,,,
03/01/2025,23:00,Viernes,Enero 2025,20.2,35.26,32.42,0,,,,,,,,
04/01/2025,00:00,Sábado,Enero 2025,20.1,35.9,32.67,0,,,,,,,,
04/01/2025,01:00,Sábado,Enero 2025,20.1,36.64,33.07,0,,,,,,,,
04/01/2025,02:00,Sábado,Enero 2025,21,37.29,33.29,0,,,,,,,,
04/01/2025,03:00,Sábado,Enero 2025,22.3,37.84,33.79,0,,,,,,,,
04/01/2025,04:00,Sábado,Enero 2025,23.4,38.57,34.02,0,,,,,,,,
04/01/2025,05:00,Sábado,Enero 2025,25.2,39.16,34.46,0,,,,,,,,
04/01/2025,06:00,Sábado,Enero 2025,27.2,39.56,34.97,0,,,,,,,,
04/01/2025,07:00,Sábado,Enero 2025,29.2,40.15,35.39,0,,,,,,,,
04/01/2025,08:00,Sábado,Enero 2025,31.2,40.73,35.77,0,,,,,,,,
04/01/2025,09:00,Sábado,Enero 2025,33.2,41.16,36.22,0,,,,,,,,
04/01/2025,10:00,Sábado,Enero 2025,33.7,41.67,36.65,0,,,,,,,,
04/01/2025,11:00,Sábado,Enero 2025,34.5,41.83,36.82,1,,,,,,,,
04/01/2025,12:00,Sábado,Enero 2025,34.6,40.65,36.32,0,,,,,,,,
04/01/2025,13:00,Sábado,Enero 2025,35,39.21,35.26,0,,,,,,,,
04/01/2025,14:00,Sábado,Enero 2025,33.8,38.36,34.68,0,,,,,,,,
04/01/2025,15:00,Sábado,Enero 2025,33.2,38.81,34.93,0,,,,,,,,
04/01/2025,16:00,Sábado,Enero 2025,31.6,39.39,35.31,0,,,,,,,,
04/01/2025,17:00,Sábado,Enero 2025,29.9,39.95,35.51,0,,,,,,,,
04/01/2025,18:00,Sábado,Enero 2025,27.8,40.11,35.66,1,,,,,,,,
04/01/2025,19:00,Sábado,Enero 2025,26,39.28,35.01,0,,,,,,,,
04/01/2025,20:00,Sábado,Enero 2025,23.4,38.65,34.42,0,,,,,,,,
04/01/2025,21:00,Sábado,Enero 2025,22.3,38.11,33.8,0,,,,,,,,
04/01/2025,22:00,Sábado,Enero 2025,21.1,37.34,33.3,0,,,,,,,,
04/01/2025,23:00,Sábado,Enero 2025,20.7,36.87,32.63,0,,,,,,,,
05/01/2025,00:00,Domingo,Enero 2025,20,37.33,32.83,0,,,,,,,,
05/01/2025,01:00,Domingo,Enero 2025,20.5,37.93,33.13,0,,,,,,,,
05/01/2025,02:00,Domingo,Enero 2025,21.2,38.5,33.48,0,,,,,,,,
05/01/2025,03:00,Domingo,Enero 2025,21.7,38.88,33.98,0,,,,,,,,
05/01/2025,04:00,Domingo,Enero 2025,24.2,39.45,34.48,0,,,,,,,,
05/01/2025,05:00,Domingo,Enero 2025,25.6,39.86,34.72,0,,,,,,,,
05/01/2025,06:00,Domingo,Enero 2025,27.3,40.57,35.2,0,,,,,,,,
05/01/2025,07:00,Domingo,Enero 2025,29.8,41.28,35.47,0,,,,,,,,
05/01/2025,08:00,Domingo,Enero 2025,31,41.67,35.95,0,,,,,,,,
05/01/2025,09:00,Domingo,Enero 2025,33.2,42,36.36,0,,,,,,,,
05/01/2025,10:00,Domingo,Enero 2025,33.6,42,36.87,0,,,,,,,,
05/01/2025,11:00,Domingo,Enero 2025,35,42,37.05,1,,,,,,,,
05/01/2025,12:00,Domingo,Enero 2025,34.5,41.02,36.08,0,,,,,,,,
05/01/2025,13:00,Domingo,Enero 2025,35,40.08,35.49,0,,,,,,,,
05/01/2025,14:00,Domingo,Enero 2025,34.3,38.76,34.84,0,,,,,,,,
05/01/2025,15:00,Domingo,Enero 2025,32.4,39.41,35.29,0,,,,,,,,
05/01/2025,16:00,Domingo,Enero 2025,31,40.04,35.63,0,,,,,,,,
05/01/2025,17:00,Domingo,Enero 2025,29.2,40.66,35.9,0,,,,,,,,
05/01/2025,18:00,Domingo,Enero 2025,27,40.8,36,1,,,,,,,,
05/01/2025,19:00,Domingo,Enero 2025,25.9,40.38,35.41,0,,,,,,,,
05/01/2025,20:00,Domingo,Enero 2025,23.9,39.68,35.1,0,,,,,,,,
05/01/2025,21:00,Domingo,Enero 2025,22.2,39.25,34.45,0,,,,,,,,
05/01/2025,22:00,Domingo,Enero 2025,21.5,38.44,34.14,0,,,,,,,,
05/01/2025,23:00,Domingo,Enero 2025,20,37.59,33.61,0,,,,,,,,
06/01/2025,00:00,Lunes,Enero 2025,20.2,38.07,34.02,0,,,,,,,,
06/01/2025,01:00,Lunes,Enero 2025,20.3,38.57,34.42,0,,,,,,,,
06/01/2025,02:00,Lunes,Enero 2025,20.8,39.21,34.62,0,,,,,,,,
06/01/2025,03:00,Lunes,Enero 2025,22.6,39.77,35.08,0,,,,,,,,
06/01/2025,04:00,Lunes,Enero 2025,24,40.39,35.4,0,,,,,,,,
06/01/2025,05:00,Lunes,Enero 2025,25.1,41,35.72,0,,,,,,,,
06/01/2025,06:00,Lunes,Enero 2025,27.3,41.69,36.17,0,,,,,,,,
06/01/2025,07:00,Lunes,Enero 2025,29.2,42,36.51,0,,,,,,,,
06/01/2025,08:00,Lunes,Enero 2025,31.2,42,36.76,0,,,,,,,,
06/01/2025,09:00,Lunes,Enero 2025,32.7,42,37.2,0,,,,,,,,
06/01/2025,10:00,Lunes,Enero 2025,34.4,42,37.5,0,,,,,,,,
06/01/2025,11:00,Lunes,Enero 2025,34.8,42,37.59,1,,,,,,,,
06/01/2025,12:00,Lunes,Enero 2025,34.9,40.91,36.85,0,,,,,,,,
06/01/2025,13:00,Lunes,Enero 2025,34.7,39.72,35.8,0,,,,,,,,
06/01/2025,14:00,Lunes,Enero 2025,34,38.85,35.16,0,,,,,,,,
06/01/2025,15:00,Lunes,Enero 2025,32.5,39.18,35.51,0,,,,,,,,
06/01/2025,16:00,Lunes,Enero 2025,31.4,39.61,35.96,0,,,,,,,,
06/01/2025,17:00,Lunes,Enero 2025,29.7,40.18,36.23,0,,,,,,,,
06/01/2025,18:00,Lunes,Enero 2025,27.2,40.29,36.31,1,,,,,,,,
06/01/2025,19:00,Lunes,Enero 2025,25.5,39.81,35.64,0,,,,,,,,
06/01/2025,20:00,Lunes,Enero 2025,23.7,39.23,35.02,0,,,,,,,,
06/01/2025,21:00,Lunes,Enero 2025,22.4,38.58,34.42,0,,,,,,,,
06/01/2025,22:00,Lunes,Enero 2025,21.2,37.68,34.02,0,,,,,,,,
06/01/2025,23:00,Lunes,Enero 2025,20.5,36.83,33.49,0,,,,,,,,
07/01/2025,00:00,Martes,Enero 2025,20,37.56,33.87,0,,,,,,,,
07/01/2025,01:00,Martes,Enero 2025,20,38.01,34.37,0,,,,,,,,
07/01/2025,02:00,Martes,Enero 2025,21,38.68,34.8,0,,,,,,,,
07/01/2025,03:00,Martes,Enero 2025,22.7,39.27,35.33,0,,,,,,,,
07/01/2025,04:00,Martes,Enero 2025,24.1,39.87,35.78,0,,,,,,,,
07/01/2025,05:00,Martes,Enero 2025,25.6,40.55,36.18,0,,,,,,,,
07/01/2025,06:00,Martes,Enero 2025,27.9,41.2,36.54,0,,,,,,,,
07/01/2025,07:00,Martes,Enero 2025,29.2,41.65,36.97,0,,,,,,,,
07/01/2025,08:00,Martes,Enero 2025,31.5,42,37.38,0,,,,,,,,
07/01/2025,09:00,Martes,Enero 2025,32.6,42,37.68,0,,,,,,,,
07/01/2025,10:00,Martes,Enero 2025,33.8,42,38.07,0,,,,,,,,
07/01/2025,11:00,Martes,Enero 2025,34.4,42,38.23,1,,,,,,,,
07/01/2025,12:00,Martes,Enero 2025,35,40.54,37.31,0,,,,,,,,
07/01/2025,13:00,Martes,Enero 2025,34.8,39.34,36.26,0,,,,,,,,
07/01/2025,14:00,Martes,Enero 2025,33.9,38.47,35.47,0,,,,,,,,
07/01/2025,15:00,Martes,Enero 2025,33,39.11,35.9,0,,,,,,,,
07/01/2025,16:00,Martes,Enero 2025,31.1,39.41,36.2,0,,,,,,,,
07/01/2025,17:00,Martes,Enero 2025,29.7,40.06,36.69,0,,,,,,,,
07/01/2025,18:00,Martes,Enero 2025,27.4,40.31,36.82,1,,,,,,,,
07/01/2025,19:00,Martes,Enero 2025,25.7,39.52,36.21,0,,,,,,,,
07/01/2025,20:00,Martes,Enero 2025,23.7,38.63,35.64,0,,,,,,,,
07/01/2025,21:00,Martes,Enero 2025,22.4,37.93,35.01,0,,,,,,,,
07/01/2025,22:00,Martes,Enero 2025,21,37.1,34.56,0,,,,,,,,
07/01/2025,23:00,Martes,Enero 2025,20,36.39,34.08,0,,,,,,,,
08/01/2025,00:00,Miércoles,Enero 2025,20,37,34.33,0,,,,,,,,
08/01/2025,01:00,Miércoles,Enero 2025,20.2,37.37,34.66,0,,,,,,,,
08/01/2025,02:00,Miércoles,Enero 2025,20.7,37.85,35.13,0,,,,,,,,
08/01/2025,03:00,Miércoles,Enero 2025,22.1,38.5,35.62,0,,,,,,,,
08/01/2025,04:00,Miércoles,Enero 2025,23.5,38.88,35.83,0,,,,,,,,
08/01/2025,05:00,Miércoles,Enero 2025,25.6,39.63,36.15,0,,,,,,,,
08/01/2025,06:00,Miércoles,Enero 2025,27.7,40.3,36.58,0,,,,,,,,
08/01/2025,07:00,Miércoles,Enero 2025,29.7,41.03,36.85,0,,,,,,,,
08/01/2025,08:00,Miércoles,Enero 2025,30.8,41.44,37.09,0,,,,,,,,
08/01/2025,09:00,Miércoles,Enero 2025,33,42,37.37,0,,,,,,,,
08/01/2025,10:00,Miércoles,Enero 2025,34.2,42,37.63,0,,,,,,,,
08/01/2025,11:00,Miércoles,Enero 2025,34.9,42,37.69,1,,,,,,,,
08/01/2025,12:00,Miércoles,Enero 2025,35,41.18,36.57,0,,,,,,,,
08/01/2025,13:00,Miércoles,Enero 2025,34.3,39.89,35.84,0,,,,,,,,
08/01/2025,14:00,Miércoles,Enero 2025,34.5,38.67,35.14,0,,,,,,,,
08/01/2025,15:00,Miércoles,Enero 2025,32.4,39.25,35.53,0,,,,,,,,
08/01/2025,16:00,Miércoles,Enero 2025,30.9,39.86,35.99,0,,,,,,,,
08/01/2025,17:00,Miércoles,Enero 2025,29.5,40.2,36.48,0,,,,,,,,
08/01/2025,18:00,Miércoles,Enero 2025,27.8,40.37,36.6,1,,,,,,,,
08/01/2025,19:00,Miércoles,Enero 2025,25.4,39.73,36.03,0,,,,,,,,
08/01/2025,20:00,Miércoles,Enero 2025,24.1,39.24,35.38,0,,,,,,,,
08/01/2025,21:00,Miércoles,Enero 2025,22.7,38.66,35.01,0,,,,,,,,
08/01/2025,22:00,Miércoles,Enero 2025,21.2,37.97,34.6,0,,,,,,,,
08/01/2025,23:00,Miércoles,Enero 2025,20.7,37.21,34.22,0,,,,,,,,
09/01/2025,00:00,Jueves,Enero 2025,20,37.75,34.58,0,,,,,,,,
09/01/2025,01:00,Jueves,Enero 2025,20.5,38.21,35.07,0,,,,,,,,
09/01/2025,02:00,Jueves,Enero 2025,21.3,38.59,35.58,0,,,,,,,,
09/01/2025,03:00,Jueves,Enero 2025,21.9,39.13,36,0,,,,,,,,
09/01/2025,04:00,Jueves,Enero 2025,23.6,39.49,36.49,0,,,,,,,,
09/01/2025,05:00,Jueves,Enero 2025,25.2,39.93,36.97,0,,,,,,,,
09/01/2025,06:00,Jueves,Enero 2025,27.3,40.63,37.42,0,,,,,,,,
09/01/2025,07:00,Jueves,Enero 2025,29.2,40.98,37.95,0,,,,,,,,
09/01/2025,08:00,Jueves,Enero 2025,30.8,41.62,38.32,0,,,,,,,,
09/01/2025,09:00,Jueves,Enero 2025,33.1,42,38.75,0,,,,,,,,
09/01/2025,10:00,Jueves,Enero 2025,34,42,38.98,0,,,,,,,,
09/01/2025,11:00,Jueves,Enero 2025,34.5,42,39.08,1,,,,,,,,
09/01/2025,12:00,Jueves,Enero 2025,35,40.83,38.25,0,,,,,,,,
09/01/2025,13:00,Jueves,Enero 2025,34.7,39.85,37.28,0,,,,,,,,
09/01/2025,14:00,Jueves,Enero 2025,34.2,38.54,36.26,0,,,,,,,,
09/01/2025,15:00,Jueves,Enero 2025,32.4,38.92,36.49,0,,,,,,,,
09/01/2025,16:00,Jueves,Enero 2025,31.3,39.52,36.75,0,,,,,,,,
09/01/2025,17:00,Jueves,Enero 2025,29.2,40.02,37.16,0,,,,,,,,
09/01/2025,18:00,Jueves,Enero 2025,28,40.22,37.26,1,,,,,,,,
09/01/2025,19:00,Jueves,Enero 2025,25.2,39.42,36.65,0,,,,,,,,
09/01/2025,20:00,Jueves,Enero 2025,23.4,38.53,36.16,0,,,,,,,,
09/01/2025,21:00,Jueves,Enero 2025,22,38.11,35.68,0,,,,,,,,
09/01/2025,22:00,Jueves,Enero 2025,21.2,37.28,35.33,0,,,,,,,,
09/01/2025,23:00,Jueves,Enero 2025,20.2,36.81,34.86,0,,,,,,,,
10/01/2025,00:00,Viernes,Enero 2025,20,37.34,35.12,0,,,,,,,,
10/01/2025,01:00,Viernes,Enero 2025,20,38.07,35.49,0,,,,,,,,
10/01/2025,02:00,Viernes,Enero 2025,21.3,38.58,35.72,0,,,,,,,,
10/01/2025,03:00,Viernes,Enero 2025,22.3,38.95,35.97,0,,,,,,,,
10/01/2025,04:00,Viernes,Enero 2025,23.8,39.42,36.52,0,,,,,,,,
10/01/2025,05:00,Viernes,Enero 2025,25.2,40.08,36.93,0,,,,,,,,
10/01/2025,06:00,Viernes,Enero 2025,27.8,40.52,37.31,0,,,,,,,,
10/01/2025,07:00,Viernes,Enero 2025,29.4,41.04,37.81,0,,,,,,,,
10/01/2025,08:00,Viernes,Enero 2025,31.7,41.52,38.23,0,,,,,,,,
10/01/2025,09:00,Viernes,Enero 2025,32.9,42,38.76,0,,,,,,,,
10/01/2025,10:00,Viernes,Enero 2025,33.7,42,39.19,0,,,,,,,,
10/01/2025,11:00,Viernes,Enero 2025,34.1,41,39.26,1,,,,,,,,
10/01/2025,12:00,Viernes,Enero 2025,34.5,40.82,38.47,0,,,,,,,,
10/01/2025,13:00,Viernes,Enero 2025,34.5,39.48,37.77,0,,,,,,,,
10/01/2025,14:00,Viernes,Enero 2025,34.2,38.3,37.05,0,,,,,,,,
10/01/2025,15:00,Viernes,Enero 2025,33.2,38.91,37.43,0,,,,,,,,
10/01/2025,16:00,Viernes,Enero 2025,31.4,39.58,37.76,0,,,,,,,,
10/01/2025,17:00,Viernes,Enero 2025,29.5,40.14,38.23,0,,,,,,,,
10/01/2025,18:00,Viernes,Enero 2025,27.8,40.26,38.31,1,,,,,,,,
10/01/2025,19:00,Viernes,Enero 2025,25.4,39.73,37.84,0,,,,,,,,
10/01/2025,20:00,Viernes,Enero 2025,23.5,38.89,37.41,0,,,,,,,,
10/01/2025,21:00,Viernes,Enero 2025,22.4,38.47,36.91,0,,,,,,,,
10/01/2025,22:00,Viernes,Enero 2025,21,37.61,36.23,0,,,,,,,,
10/01/2025,23:00,Viernes,Enero 2025,20.2,36.87,35.63,0,,,,,,,,
11/01/2025,00:00,Sábado,Enero 2025,20,37.6,36.12,0,,,,,,,,
11/01/2025,01:00,Sábado,Enero 2025,20.3,38.33,36.67,0,,,,,,,,
11/01/2025,02:00,Sábado,Enero 2025,21.2,38.79,36.89,0,,,,,,,,
11/01/2025,03:00,Sábado,Enero 2025,22.5,39.33,37.31,0,,,,,,,,
11/01/2025,04:00,Sábado,Enero 2025,24.2,39.75,37.72,0,,,,,,,,
11/01/2025,05:00,Sábado,Enero 2025,25.7,40.3,37.95,0,,,,,,,,
11/01/2025,06:00,Sábado,Enero 2025,27.3,40.78,38.38,0,,,,,,,,
11/01/2025,07:00,Sábado,Enero 2025,29.8,41.26,38.83,0,,,,,,,,
11/01/2025,08:00,Sábado,Enero 2025,31,41.99,39.31,0,,,,,,,,
11/01/2025,09:00,Sábado,Enero 2025,32.9,42,39.62,0,,,,,,,,
11/01/2025,10:00,Sábado,Enero 2025,33.8,42,39.96,0,,,,,,,,
11/01/2025,11:00,Sábado,Enero 2025,34.8,42,40,1,,,,,,,,
11/01/2025,12:00,Sábado,Enero 2025,35,40.79,38.93,0,,,,,,,,
11/01/2025,13:00,Sábado,Enero 2025,34.6,39.82,38.17,0,,,,,,,,
11/01/2025,14:00,Sábado,Enero 2025,34,38.46,37.35,0,,,,,,,,
11/01/2025,15:00,Sábado,Enero 2025,33.2,38.94,37.76,0,,,,,,,,
11/01/2025,16:00,Sábado,Enero 2025,30.9,39.63,38.15,0,,,,,,,,
11/01/2025,17:00,Sábado,Enero 2025,29.2,39.99,38.51,0,,,,,,,,
11/01/2025,18:00,Sábado,Enero 2025,27.6,40.11,38.71,1,,,,,,,,
11/01/2025,19:00,Sábado,Enero 2025,26,39.44,38.06,0,,,,,,,,
11/01/2025,20:00,Sábado,Enero 2025,24.1,38.79,37.64,0,,,,,,,,
11/01/2025,21:00,Sábado,Enero 2025,22.2,38.02,37.28,0,,,,,,,,
11/01/2025,22:00,Sábado,Enero 2025,21.5,37.25,36.8,0,,,,,,,,
11/01/2025,23:00,Sábado,Enero 2025,20.1,36.81,36.3,0,,,,,,,,
12/01/2025,00:00,Domingo,Enero 2025,20.4,37.5,36.6,0,,,,,,,,
12/01/2025,01:00,Domingo,Enero 2025,20.5,38.02,37.12,0,,,,,,,,
12/01/2025,02:00,Domingo,Enero 2025,21,38.7,37.42,0,,,,,,,,
12/01/2025,03:00,Domingo,Enero 2025,22,39.28,37.97,0,,,,,,,,
12/01/2025,04:00,Domingo,Enero 2025,23.7,39.69,38.36,0,,,,,,,,
12/01/2025,05:00,Domingo,Enero 2025,25.4,40.26,38.75,0,,,,,,,,
12/01/2025,06:00,Domingo,Enero 2025,27.5,40.74,39.02,0,,,,,,,,
12/01/2025,07:00,Domingo,Enero 2025,30.1,41.32,39.3,0,,,,,,,,
12/01/2025,08:00,Domingo,Enero 2025,31.5,41.69,39.76,0,,,,,,,,
12/01/2025,09:00,Domingo,Enero 2025,33,42,40,0,,,,,,,,
12/01/2025,10:00,Domingo,Enero 2025,34.2,42,40,0,,,,,,,,
12/01/2025,11:00,Domingo,Enero 2025,34.7,42,40,1,,,,,,,,
12/01/2025,12:00,Domingo,Enero 2025,35,41.11,39.41,0,,,,,,,,
12/01/2025,13:00,Domingo,Enero 2025,34.7,39.98,38.53,0,,,,,,,,
12/01/2025,14:00,Domingo,Enero 2025,34.2,38.76,37.79,0,,,,,,,,
12/01/2025,15:00,Domingo,Enero 2025,32.5,39.25,38.28,0,,,,,,,,
12/01/2025,16:00,Domingo,Enero 2025,31.1,39.83,38.68,0,,,,,,,,
12/01/2025,17:00,Domingo,Enero 2025,29.8,40.47,39.13,0,,,,,,,,
12/01/2025,18:00,Domingo,Enero 2025,27.4,40.63,39.29,1,,,,,,,,
12/01/2025,19:00,Domingo,Enero 2025,25.8,40.17,38.61,0,,,,,,,,
12/01/2025,20:00,Domingo,Enero 2025,23.3,39.58,38.27,0,,,,,,,,
12/01/2025,21:00,Domingo,Enero 2025,22.7,39.06,37.75,0,,,,,,,,
12/01/2025,22:00,Domingo,Enero 2025,20.6,38.48,37.4,0,,,,,,,,
12/01/2025,23:00,Domingo,Enero 2025,20.2,37.92,37.06,0,,,,,,,,
13/01/2025,00:00,Lunes,Enero 2025,20,38.59,37.36,0,,,,,,,,
13/01/2025,01:00,Lunes,Enero 2025,20.1,39,37.75,0,,,,,,,,
13/01/2025,02:00,Lunes,Enero 2025,21.1,39.67,38.01,0,,,,,,,,
13/01/2025,03:00,Lunes,Enero 2025,21.8,40.36,38.42,0,,,,,,,,
13/01/2025,04:00,Lunes,Enero 2025,23.5,41.08,38.67,0,,,,,,,,
13/01/2025,05:00,Lunes,Enero 2025,25.5,41.53,38.96,0,,,,,,,,
13/01/2025,06:00,Lunes,Enero 2025,27,42,39.48,0,,,,,,,,
13/01/2025,07:00,Lunes,Enero 2025,29.7,42,39.83,0,,,,,,,,
13/01/2025,08:00,Lunes,Enero 2025,31.1,42,40,0,,,,,,,,
13/01/2025,09:00,Lunes,Enero 2025,32.7,42,40,0,,,,,,,,
13/01/2025,10:00,Lunes,Enero 2025,33.7,42,40,0,,,,,,,,
13/01/2025,11:00,Lunes,Enero 2025,34.5,42,40,1,,,,,,,,
13/01/2025,12:00,Lunes,Enero 2025,35,40.71,39.48,0,,,,,,,,
13/01/2025,13:00,Lunes,Enero 2025,34.9,39.4,38.68,0,,,,,,,,
13/01/2025,14:00,Lunes,Enero 2025,34.2,38.42,37.52,0,,,,,,,,
13/01/2025,15:00,Lunes,Enero 2025,32.9,38.92,37.99,0,,,,,,,,
13/01/2025,16:00,Lunes,Enero 2025,31,39.54,38.37,0,,,,,,,,
13/01/2025,17:00,Lunes,Enero 2025,29.3,40.09,38.75,0,,,,,,,,
13/01/2025,18:00,Lunes,Enero 2025,27.7,40.34,38.9,1,,,,,,,,
13/01/2025,19:00,Lunes,Enero 2025,25.9,39.75,38.56,0,,,,,,,,
13/01/2025,20:00,Lunes,Enero 2025,23.9,39.01,38.04,0,,,,,,,,
13/01/2025,21:00,Lunes,Enero 2025,22.3,38.47,37.38,0,,,,,,,,
13/01/2025,22:00,Lunes,Enero 2025,20.8,37.95,36.75,0,,,,,,,,
13/01/2025,23:00,Lunes,Enero 2025,20,37.32,36.44,0,,,,,,,,
